Dish (cleaned),Unnamed: 0,Dish,Total_ingredients,Matched,Coverage_pct,Matched_ingredients,Missing_ingredients
achar,43,Achar,8,1,88.88888889,"mustard seeds, chili, turmeric, salt, lime, fenugreek, fennel seeds, mustard oil",mango
aloo gobi,4,aloo gobi,12,12,100,"cauliflower, cumin, garam masala, garlic, ginger, oil, onion, potato, red chili, salt, tomato, turmeric",
aloo matar,5,aloo matar,12,12,100,"cumin, garam masala, garlic, ginger, oil, onion, peas, potato, red chili, salt, tomato, turmeric",
aloo methi,13,aloo methi,10,10,100,"cumin, fenugreek, garam masala, garlic, green chili, oil, onion, potato, salt, turmeric",
aloo puri,47,Aloo Puri,8,0,100,"flour, oil, salt, potato, onion, tomato, cumin, turmeric",
aloo tikki,48,Aloo Tikki,8,0,100,"potato, onion, chili, Coriadner seeds, cumin, salt, oil, bread crumbs",
appam,49,Appam,4,1,80,"rice, salt, coconut milk, sugar",yeast
apple,50,Apple,1,0,100,apple,
apple pie,51,Apple Pie,4,1,80,"flour, cinnamon, apple, sugar",dairy
bagels,52,Bagels,4,1,80,"flour, salt, water, sugar",yeast
baingan bharta,30,baingan bharta,11,10,90.9,"cumin, garam masala, garlic, ginger, green chili, oil, onion, salt, tomato, turmeric",eggplant
banana,54,Banana,1,0,100,banana,
basundi,55,Basundi,5,1,83.33333333,"cardamom, saffron, almonds, pistachios, sugar",dairy
beetroot,56,Beetroot,6,1,85.71428571,"onion, chili, mustard seeds, cumin, turmeric, salt",beetroot
besan cheela,57,Besan Cheela,8,0,100,"flour, onion, tomato, chili, Coriadner seeds, turmeric, salt, oil",
besan laddu,58,Besan Laddu,6,1,85.71428571,"flour, cardamom, cashews, almonds, raisins, sugar",dairy
bhindi masala,14,bhindi masala,10,10,100,"coriander, cumin, garam masala, green chili, oil, okra, onion, salt, tomato, turmeric",
biryani,60,Biryani,13,3,81.25,"onion, tomato, ginger, garlic, bay leaf, cloves, cinnamon, cardamom, cumin, turmeric, saffron, salt, rice","dairy, meat, mint leaves"
boondi,61,Boondi,4,0,100,"flour, salt, oil, sugar",
butter chicken,62,Butter Chicken,10,2,83.33333333,"chicken, onion, tomato, ginger, garlic, cumin, turmeric, chili, masala, salt","dairy, dairy"
cabbage,63,Cabbage,7,0,100,"cabbage, onion, Chili, mustard seeds, cumin, turmeric, salt",
canned potatoes,64,Canned Potatoes,3,0,100,"potato, salt, water",
